테이블명,테이블한글명,컬럼명,컬럼한글명,데이터타입,길이,정널여부,pk여부
TB_MEMBER,회원마스터,MEMBER_ID,회원아이디,VARCHAR2,20,N,Y
TB_MEMBER,회원마스터,MEMBER_NM,회원명,VARCHAR2,50,N,N
TB_MEMBER,회원마스터,PASSWD,비밀번호,VARCHAR2,100,N,N
TB_MEMBER,회원마스터,MEMBER_GRADE,회원등급코드,VARCHAR2,10,N,N
TB_MEMBER,회원마스터,MEMBER_STAT,회원상태코드,VARCHAR2,10,N,N
TB_MEMBER,회원마스터,TEL_NO,휴대폰번호,VARCHAR2,20,Y,N
TB_MEMBER,회원마스터,EMAIL,이메일주소,VARCHAR2,100,Y,N
TB_MEMBER,회원마스터,JOIN_DT,가입일자,VARCHAR2,8,N,N
TB_MEMBER,회원마스터,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_MEMBER,회원마스터,REG_DT,등록일시,DATE,7,N,N
TB_PRODUCT,상품마스터,PROD_ID,상품아이디,VARCHAR2,20,N,Y
TB_PRODUCT,상품마스터,PROD_NM,상품명,VARCHAR2,100,N,N
TB_PRODUCT,상품마스터,CAT_ID,카테고리ID,VARCHAR2,20,N,N
TB_PRODUCT,상품마스터,PROD_TYPE,상품유형코드,VARCHAR2,10,N,N
TB_PRODUCT,상품마스터,SALE_STAT,판매상태코드,VARCHAR2,10,N,N
TB_PRODUCT,상품마스터,SALE_PRICE,판매가격,NUMBER,12,N,N
TB_PRODUCT,상품마스터,STOCK_QTY,재고수량,NUMBER,8,N,N
TB_PRODUCT,상품마스터,SELLER_ID,판매자ID,VARCHAR2,20,N,N
TB_PRODUCT,상품마스터,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_PRODUCT,상품마스터,REG_DT,등록일시,DATE,7,N,N
TB_CATEGORY,상품카테고리,CAT_ID,카테고리ID,VARCHAR2,20,N,Y
TB_CATEGORY,상품카테고리,CAT_NM,카테고리명,VARCHAR2,100,N,N
TB_CATEGORY,상품카테고리,UP_CAT_ID,상위카테고리ID,VARCHAR2,20,Y,N
TB_CATEGORY,상품카테고리,CAT_LVL,카테고리레벨,NUMBER,2,N,N
TB_CATEGORY,상품카테고리,CAT_STAT,카테고리상태코드,VARCHAR2,10,N,N
TB_CATEGORY,상품카테고리,SORT_ORD,정렬순서,NUMBER,5,N,N
TB_CATEGORY,상품카테고리,DISP_YN,노출여부코드,VARCHAR2,1,N,N
TB_CATEGORY,상품카테고리,CAT_DESC,카테고리설명,VARCHAR2,500,Y,N
TB_CATEGORY,상품카테고리,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_CATEGORY,상품카테고리,REG_DT,등록일시,DATE,7,N,N
TB_ORDER,주문마스터,ORDER_ID,주문번호,VARCHAR2,20,N,Y
TB_ORDER,주문마스터,ORDER_DT,주문일시,VARCHAR2,14,N,N
TB_ORDER,주문마스터,MEMBER_ID,주문회원ID,VARCHAR2,20,N,N
TB_ORDER,주문마스터,ORDER_STAT,주문상태코드,VARCHAR2,10,N,N
TB_ORDER,주문마스터,PAY_METHOD,결제수단코드,VARCHAR2,10,N,N
TB_ORDER,주문마스터,TOT_ORDER_AMT,총주문금액,NUMBER,12,N,N
TB_ORDER,주문마스터,DISC_AMT,총할인금액,NUMBER,12,N,N
TB_ORDER,주문마스터,REAL_PAY_AMT,실결제금액,NUMBER,12,N,N
TB_ORDER,주문마스터,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_ORDER,주문마스터,REG_DT,등록일시,DATE,7,N,N
TB_ORDER_ITEM,주문상세내역,ORDER_ITEM_ID,주문상세번호,VARCHAR2,20,N,Y
TB_ORDER_ITEM,주문상세내역,ORDER_ID,주문번호,VARCHAR2,20,N,N
TB_ORDER_ITEM,주문상세내역,PROD_ID,상품아이디,VARCHAR2,20,N,N
TB_ORDER_ITEM,주문상세내역,ORDER_QTY,주문수량,NUMBER,6,N,N
TB_ORDER_ITEM,주문상세내역,ITEM_PRICE,단가,NUMBER,12,N,N
TB_ORDER_ITEM,주문상세내역,ITEM_AMT,주문금액,NUMBER,12,N,N
TB_ORDER_ITEM,주문상세내역,ITEM_STAT,상품진행상태코드,VARCHAR2,10,N,N
TB_ORDER_ITEM,주문상세내역,CLAIM_TYPE,클레임유형코드,VARCHAR2,10,Y,N
TB_ORDER_ITEM,주문상세내역,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_ORDER_ITEM,주문상세내역,REG_DT,등록일시,DATE,7,N,N
TB_PAYMENT,결제마스터,PAY_ID,결제번호,VARCHAR2,20,N,Y
TB_PAYMENT,결제마스터,ORDER_ID,주문번호,VARCHAR2,20,N,N
TB_PAYMENT,결제마스터,PAY_TYPE,결제방식코드,VARCHAR2,10,N,N
TB_PAYMENT,결제마스터,PAY_STAT,결제상태코드,VARCHAR2,10,N,N
TB_PAYMENT,결제마스터,PAY_AMT,결제금액,NUMBER,12,N,N
TB_PAYMENT,결제마스터,PG_TID,PG승인번호,VARCHAR2,50,Y,N
TB_PAYMENT,결제마스터,PAY_DTTM,결제완료일시,VARCHAR2,14,N,N
TB_PAYMENT,결제마스터,CANCEL_AMT,취소환불금액,NUMBER,12,Y,N
TB_PAYMENT,결제마스터,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_PAYMENT,결제마스터,REG_DT,등록일시,DATE,7,N,N
TB_DELIVERY,배송마스터,DELIV_ID,배송번호,VARCHAR2,20,N,Y
TB_DELIVERY,배송마스터,ORDER_ID,주문번호,VARCHAR2,20,N,N
TB_DELIVERY,배송마스터,DELIV_STAT,배송상태코드,VARCHAR2,10,N,N
TB_DELIVERY,배송마스터,DELIV_CORP,택배사코드,VARCHAR2,10,Y,N
TB_DELIVERY,배송마스터,INVOICE_NO,송장번호,VARCHAR2,30,Y,N
TB_DELIVERY,배송마스터,RCVR_NM,수령인명,VARCHAR2,50,N,N
TB_DELIVERY,배송마스터,RCVR_TEL,수령인연락처,VARCHAR2,20,N,N
TB_DELIVERY,배송마스터,RCVR_ADDR,수령인배송주소,VARCHAR2,200,N,N
TB_DELIVERY,배송마스터,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_DELIVERY,배송마스터,REG_DT,등록일시,DATE,7,N,N
TB_COUPON,쿠폰발행관리,COUPON_ID,쿠폰발행번호,VARCHAR2,20,N,Y
TB_COUPON,쿠폰발행관리,MEMBER_ID,소유회원ID,VARCHAR2,20,N,N
TB_COUPON,쿠폰발행관리,COUPON_NM,쿠폰명,VARCHAR2,100,N,N
TB_COUPON,쿠폰발행관리,COUPON_TYPE,쿠폰할인유형코드,VARCHAR2,10,N,N
TB_COUPON,쿠폰발행관리,COUPON_STAT,쿠폰사용상태코드,VARCHAR2,10,N,N
TB_COUPON,쿠폰발행관리,DISC_VALUE,할인값,NUMBER,8,N,N
TB_COUPON,쿠폰발행관리,MIN_ORDER_AMT,최소주문금액,NUMBER,12,N,N
TB_COUPON,쿠폰발행관리,EXPIRE_DT,만료일자,VARCHAR2,8,N,N
TB_COUPON,쿠폰발행관리,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_COUPON,쿠폰발행관리,REG_DT,등록일시,DATE,7,N,N
TB_POINT,포인트내역,POINT_ID,포인트내역번호,VARCHAR2,20,N,Y
TB_POINT,포인트내역,MEMBER_ID,회원아이디,VARCHAR2,20,N,N
TB_POINT,포인트내역,ORDER_ID,관련주문번호,VARCHAR2,20,Y,N
TB_POINT,포인트내역,POINT_TYPE,포인트구분코드,VARCHAR2,10,N,N
TB_POINT,포인트내역,POINT_STAT,포인트상태코드,VARCHAR2,10,N,N
TB_POINT,포인트내역,POINT_AMT,변동포인트금액,NUMBER,8,N,N
TB_POINT,포인트내역,BAL_POINT,잔여포인트금액,NUMBER,8,N,N
TB_POINT,포인트내역,POINT_DESC,포인트적립내용,VARCHAR2,200,Y,N
TB_POINT,포인트내역,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_POINT,포인트내역,REG_DT,등록일시,DATE,7,N,N
TB_REVIEW,상품후기게시판,REVIEW_ID,후기번호,VARCHAR2,20,N,Y
TB_REVIEW,상품후기게시판,PROD_ID,상품아이디,VARCHAR2,20,N,N
TB_REVIEW,상품후기게시판,MEMBER_ID,작성회원ID,VARCHAR2,20,N,N
TB_REVIEW,상품후기게시판,ORDER_ITEM_ID,주문상세번호,VARCHAR2,20,Y,N
TB_REVIEW,상품후기게시판,RATING_SCORE,평점점수코드,NUMBER,2,N,N
TB_REVIEW,상품후기게시판,REVIEW_STAT,게시상태코드,VARCHAR2,10,N,N
TB_REVIEW,상품후기게시판,TITLE,후기제목,VARCHAR2,200,N,N
TB_REVIEW,상품후기게시판,CONTENT,후기상세내용,CLOB,4000,N,N
TB_REVIEW,상품후기게시판,REG_ID,등록자ID,VARCHAR2,20,N,N
TB_REVIEW,상품후기게시판,REG_DT,등록일시,DATE,7,N,N
