컬럼명,코드그룹id,코드그룹 한글명칭,코드값,코드한글명
MEMBER_GRADE,MEMBER_GRADE_GRP,회원등급그룹,VIP,VIP등급
MEMBER_GRADE,MEMBER_GRADE_GRP,회원등급그룹,GOLD,골드등급
MEMBER_GRADE,MEMBER_GRADE_GRP,회원등급그룹,SILVER,실버등급
MEMBER_GRADE,MEMBER_GRADE_GRP,회원등급그룹,BRONZE,일반회원
MEMBER_STAT,MEMBER_STAT_GRP,회원상태그룹,10,정상활동
MEMBER_STAT,MEMBER_STAT_GRP,회원상태그룹,20,휴면계정
MEMBER_STAT,MEMBER_STAT_GRP,회원상태그룹,90,탈퇴완료
PROD_TYPE,PROD_TYPE_GRP,상품유형그룹,01,단독일반상품
PROD_TYPE,PROD_TYPE_GRP,상품유형그룹,02,세트묶음상품
PROD_TYPE,PROD_TYPE_GRP,상품유형그룹,03,디지털콘텐츠
SALE_STAT,SALE_STAT_GRP,판매상태그룹,10,판매중
SALE_STAT,SALE_STAT_GRP,판매상태그룹,20,품절
SALE_STAT,SALE_STAT_GRP,판매상태그룹,30,판매종료
CAT_STAT,CAT_STAT_GRP,카테고리상태그룹,10,정상운영
CAT_STAT,CAT_STAT_GRP,카테고리상태그룹,20,일시중지
DISP_YN,DISP_YN_GRP,노출여부그룹,Y,화면노출
DISP_YN,DISP_YN_GRP,노출여부그룹,N,화면숨김
ORDER_STAT,ORDER_STAT_GRP,주문진행상태그룹,10,주문완료
ORDER_STAT,ORDER_STAT_GRP,주문진행상태그룹,20,결제완료
ORDER_STAT,ORDER_STAT_GRP,주문진행상태그룹,30,배송진행중
ORDER_STAT,ORDER_STAT_GRP,주문진행상태그룹,40,배송완료
ORDER_STAT,ORDER_STAT_GRP,주문진행상태그룹,90,주문취소
PAY_METHOD,PAY_METHOD_GRP,결제수단그룹,CARD,신용/체크카드
PAY_METHOD,PAY_METHOD_GRP,결제수단그룹,BANK,실시간계좌이체
PAY_METHOD,PAY_METHOD_GRP,결제수단그룹,VBANK,가상계좌입금
PAY_METHOD,PAY_METHOD_GRP,결제수단그룹,POINT,전액포인트결제
ITEM_STAT,ITEM_STAT_GRP,상품진행상태그룹,10,상품준비중
ITEM_STAT,ITEM_STAT_GRP,상품진행상태그룹,20,물류출고완료
ITEM_STAT,ITEM_STAT_GRP,상품진행상태그룹,90,주문취소
CLAIM_TYPE,CLAIM_TYPE_GRP,클레임유형그룹,00,클레임없음
CLAIM_TYPE,CLAIM_TYPE_GRP,클레임유형그룹,01,단순변심반품
CLAIM_TYPE,CLAIM_TYPE_GRP,클레임유형그룹,02,상품불량교환
CLAIM_TYPE,CLAIM_TYPE_GRP,클레임유형그룹,03,배송지연환불
PAY_TYPE,PAY_TYPE_GRP,결제방식구분그룹,10,일시불
PAY_TYPE,PAY_TYPE_GRP,결제방식구분그룹,20,무이자할부
PAY_TYPE,PAY_TYPE_GRP,결제방식구분그룹,30,간편페이결제
PAY_STAT,PAY_STAT_GRP,결제승인상태그룹,10,결제대기중
PAY_STAT,PAY_STAT_GRP,결제승인상태그룹,20,결제승인완료
PAY_STAT,PAY_STAT_GRP,결제승인상태그룹,30,결제전체취소
PAY_STAT,PAY_STAT_GRP,결제승인상태그룹,90,결제승인실패
DELIV_STAT,DELIV_STAT_GRP,배송상태단계그룹,10,배송준비중
DELIV_STAT,DELIV_STAT_GRP,배송상태단계그룹,20,택배사집하중
DELIV_STAT,DELIV_STAT_GRP,배송상태단계그룹,30,배송완료
DELIV_STAT,DELIV_STAT_GRP,배송상태단계그룹,40,반품회수진행
DELIV_CORP,DELIV_CORP_GRP,제휴택배사코드그룹,CJ,CJ대한통운
DELIV_CORP,DELIV_CORP_GRP,제휴택배사코드그룹,POST,우체국택배
DELIV_CORP,DELIV_CORP_GRP,제휴택배사코드그룹,LOGEN,로젠택배
DELIV_CORP,DELIV_CORP_GRP,제휴택배사코드그룹,HANJIN,한진택배
COUPON_TYPE,COUPON_TYPE_GRP,쿠폰할인유형그룹,RATE,정률할인(%)
COUPON_TYPE,COUPON_TYPE_GRP,쿠폰할인유형그룹,AMT,정액할인(원)
COUPON_TYPE,COUPON_TYPE_GRP,쿠폰할인유형그룹,SHIP,무료배송
COUPON_STAT,COUPON_STAT_GRP,쿠폰사용상태그룹,10,사용가능
COUPON_STAT,COUPON_STAT_GRP,쿠폰사용상태그룹,20,사용완료
COUPON_STAT,COUPON_STAT_GRP,쿠폰사용상태그룹,90,기간만료
POINT_TYPE,POINT_TYPE_GRP,포인트발생구분그룹,01,상품구매적립
POINT_TYPE,POINT_TYPE_GRP,포인트발생구분그룹,02,이벤트참여지급
POINT_TYPE,POINT_TYPE_GRP,포인트발생구분그룹,03,주문결제사용
POINT_TYPE,POINT_TYPE_GRP,포인트발생구분그룹,04,유효기간소멸
POINT_STAT,POINT_STAT_GRP,포인트상태그룹,10,정상적립
POINT_STAT,POINT_STAT_GRP,포인트상태그룹,20,사용차감
POINT_STAT,POINT_STAT_GRP,포인트상태그룹,90,취소회수
RATING_SCORE,RATING_SCORE_GRP,평점점수그룹,5,★★★★★ (아주만족)
RATING_SCORE,RATING_SCORE_GRP,평점점수그룹,4,★★★★☆ (만족)
RATING_SCORE,RATING_SCORE_GRP,평점점수그룹,3,★★★☆☆ (보통)
RATING_SCORE,RATING_SCORE_GRP,평점점수그룹,2,★★☆☆☆ (불만)
RATING_SCORE,RATING_SCORE_GRP,평점점수그룹,1,★☆☆☆☆ (매우불만)
REVIEW_STAT,REVIEW_STAT_GRP,게시물상태그룹,10,정상공개
