본래테이블명,컬럼명,참조코드테이블명
TB_PRODUCT,CAT_ID,TB_CATEGORY
TB_PRODUCT,SELLER_ID,TB_MEMBER
TB_CATEGORY,UP_CAT_ID,TB_CATEGORY
TB_ORDER,MEMBER_ID,TB_MEMBER
TB_ORDER_ITEM,ORDER_ID,TB_ORDER
TB_ORDER_ITEM,PROD_ID,TB_PRODUCT
TB_PAYMENT,ORDER_ID,TB_ORDER
TB_DELIVERY,ORDER_ID,TB_ORDER
TB_COUPON,MEMBER_ID,TB_MEMBER
TB_POINT,MEMBER_ID,TB_MEMBER
TB_POINT,ORDER_ID,TB_ORDER
TB_REVIEW,PROD_ID,TB_PRODUCT
TB_REVIEW,MEMBER_ID,TB_MEMBER
TB_REVIEW,ORDER_ITEM_ID,TB_ORDER_ITEM
TB_MEMBER,REG_ID,TB_MEMBER
TB_PRODUCT,REG_ID,TB_MEMBER
TB_CATEGORY,REG_ID,TB_MEMBER
TB_ORDER,REG_ID,TB_MEMBER
TB_PAYMENT,REG_ID,TB_MEMBER
TB_DELIVERY,REG_ID,TB_MEMBER
