테이블명,테이블한글명,컬럼명,컬럼한글명,데이터타입,길이,정널여부,pk여부
TB_USER,사용자마스터,USER_ID,사용자아이디,VARCHAR2,20,N,Y
TB_USER,사용자마스터,USER_NM,사용자명,VARCHAR2,50,N,N
TB_USER,사용자마스터,DEPT_CD,부서코드,VARCHAR2,10,Y,N
TB_USER,사용자마스터,USER_STATUS,사용자상태코드,VARCHAR2,2,Y,N
TB_USER,사용자마스터,CREATE_DT,생성일시,DATE,7,N,N
TB_DEPT,부서마스터,DEPT_CD,부서코드,VARCHAR2,10,N,Y
TB_DEPT,부서마스터,DEPT_NM,부서명,VARCHAR2,100,N,N
TB_DEPT,부서마스터,UP_DEPT_CD,상위부서코드,VARCHAR2,10,Y,N
TB_DEPT,부서마스터,CREATE_DT,생성일시,DATE,7,N,N
TB_BOARD,게시판마스터,BOARD_ID,게시판아이디,VARCHAR2,10,N,Y
TB_BOARD,게시판마스터,BOARD_NM,게시판명,VARCHAR2,100,N,N
TB_BOARD,게시판마스터,BOARD_TYPE,게시판유형코드,VARCHAR2,10,Y,N
TB_BOARD,게시판마스터,CREATE_DT,생성일시,DATE,7,N,N
